method,blurred,salt_n_pepper,gaussian,motion,radial,wavy
total_entropy_r,"[77.63424999999998, 78.09599999999999, 82.34224999999998, 79.8955, 79.69800000000001, 78.11600000000001, 77.55574999999999, 79.55624999999999, 80.205, 81.402, 78.67375000000001, 81.43, 79.50125, 81.23249999999999, 79.84425, 77.49249999999999, 80.47175, 79.21724999999999, 81.3325, 77.75625]","[78.54075, 77.54424999999999, 76.34974999999999, 79.01399999999998, 75.79375, 78.62325000000001, 77.73974999999999, 75.27499999999999, 76.11175, 77.2255, 78.90275, 75.10925, 77.05275, 77.07749999999999, 74.79124999999999, 79.8545, 78.39025000000001, 76.22999999999999, 76.42375, 78.067]","[82.91975, 82.08149999999999, 82.24949999999998, 81.485, 82.53975, 81.59825, 82.07724999999999, 82.8105, 82.7515, 83.743, 84.91550000000001, 84.7675, 80.30775, 83.22025, 81.073, 82.00125000000001, 79.1675, 82.15175, 81.42849999999999, 81.8525]","[78.3055, 76.46549999999999, 75.862, 79.22, 75.4535, 75.92224999999999, 80.024, 78.70375, 76.65074999999999, 78.3865, 77.34299999999999, 79.36949999999999, 79.16824999999999, 75.5255, 77.74725000000001, 78.24199999999998, 80.72725, 71.68075, 77.64575, 77.54724999999999]","[82.59675, 81.39199999999998, 80.77775, 83.87875, 79.922, 83.22624999999998, 81.77924999999999, 81.2705, 83.0045, 81.52275000000002, 80.34325, 83.15149999999998, 82.63375, 80.49650000000001, 83.12475, 85.46775, 84.90674999999999, 81.12049999999999, 83.63174999999998, 79.03925]","[84.72650000000002, 81.33599999999998, 82.89125, 84.41025, 83.77224999999999, 84.42475, 82.90499999999999, 85.50025000000001, 83.86649999999999, 83.94200000000001, 84.6225, 61.13975000000001, 63.205499999999994, 84.91499999999999, 83.1435, 83.15474999999999, 84.19325, 83.70500000000001, 65.84825000000001, 84.44975]"
aleatoric_r,"[77.40075, 78.03149999999998, 82.29625, 79.82574999999999, 79.57449999999999, 78.05650000000001, 77.43, 79.49975, 80.0265, 81.40899999999999, 78.71574999999999, 81.42099999999999, 79.49025, 81.26050000000001, 79.73275000000001, 77.51275, 80.42875000000001, 79.19375000000001, 81.343, 77.63425]","[78.63825, 77.57224999999998, 76.45675, 79.06199999999998, 75.85825, 78.71225, 77.77275, 75.3795, 76.11325, 77.2875, 78.95625, 75.23575, 77.11275, 77.1665, 74.77574999999999, 79.94749999999999, 78.44075000000001, 76.37799999999999, 76.61925, 78.1275]","[83.16399999999999, 82.3005, 82.487, 81.718, 82.72800000000001, 81.86524999999997, 82.194, 83.008, 82.9395, 83.88974999999999, 85.10625, 84.99549999999999, 80.56349999999999, 83.38875, 81.29949999999998, 82.27599999999998, 79.5265, 82.46325, 81.67424999999999, 82.04475000000001]","[78.267, 76.499, 75.75500000000001, 79.24099999999999, 75.368, 75.8215, 79.94, 78.66475, 76.66574999999999, 78.32599999999998, 77.29049999999998, 79.36949999999999, 79.13074999999999, 75.30874999999999, 77.57425, 78.27049999999998, 80.75574999999999, 71.54475, 77.62425, 77.38274999999999]","[82.85624999999999, 81.60949999999998, 81.05024999999999, 84.09224999999998, 80.11649999999997, 83.38824999999999, 81.94675000000002, 81.48775, 83.15599999999999, 81.7825, 80.58, 83.286, 82.85224999999998, 80.70225, 83.40749999999998, 85.57549999999999, 85.02075, 81.30649999999999, 83.79674999999999, 79.23249999999999]","[84.33825, 80.8145, 82.33175, 83.9555, 83.35375, 84.01575, 82.4635, 85.235, 83.42899999999999, 83.56824999999999, 84.25250000000001, 59.116749999999996, 60.955499999999994, 84.506, 82.6595, 82.68624999999999, 83.7565, 83.2095, 63.850249999999996, 84.00849999999998]"
epistemic_r,"[81.91349999999998, 80.94449999999999, 84.50825, 82.602, 83.0265, 81.27749999999999, 80.39275, 82.89, 82.81775, 83.73049999999999, 81.81625, 83.55199999999999, 82.55824999999999, 83.88849999999998, 83.86450000000002, 80.3685, 83.08224999999999, 82.70549999999999, 84.24475, 80.85074999999999]","[78.8905, 76.19325, 75.76849999999999, 79.23299999999999, 74.97925000000001, 77.181, 77.84774999999999, 74.594, 76.02650000000001, 76.25675000000001, 79.172, 74.046, 75.84024999999998, 77.26075, 74.14575, 80.25049999999999, 76.98774999999999, 75.39475, 76.083, 77.77325]","[72.4615, 70.01100000000001, 69.98, 68.83300000000001, 72.08875, 68.314, 68.917, 71.18050000000001, 71.91925, 73.20124999999999, 76.56725, 75.6015, 66.49475, 72.20999999999998, 69.16300000000001, 71.38024999999999, 64.1905, 71.7875, 70.892, 71.23775]","[81.30225, 80.42575, 78.658, 81.40925, 78.28925, 79.137, 82.197, 80.71625, 79.32849999999999, 80.76549999999999, 79.56749999999998, 81.18700000000001, 81.35775000000001, 78.46575, 80.96375, 80.72875, 83.6335, 77.68524999999998, 80.21325, 81.254]","[72.63025, 73.265, 70.13674999999999, 74.52624999999999, 68.667, 73.33749999999999, 72.64099999999999, 70.37625, 75.23249999999999, 73.2595, 69.39275, 74.46225, 73.92999999999999, 71.20775, 73.37424999999999, 79.592, 78.07675, 72.6235, 76.10125000000001, 68.21900000000001]","[88.76774999999999, 87.79075, 88.649, 88.73075, 88.79350000000001, 88.789, 88.32325, 89.025, 88.68399999999998, 88.59625, 89.06074999999998, 82.40124999999999, 83.22925000000001, 88.86925, 88.1875, 88.12874999999998, 88.69749999999999, 88.44275, 84.05725, 88.87249999999999]"
sorted_imp_concepts_percentage,"[84.04350000000001, 84.859, 86.7945, 85.47225000000002, 86.35775000000001, 83.38925, 87.51249999999999, 84.64224999999999, 85.0045, 86.77349999999998, 85.6875, 86.97475, 84.8895, 85.73499999999999, 86.67075, 83.48525, 86.6615, 85.03899999999999, 87.69474999999998, 84.32849999999999]","[84.9275, 83.23024999999998, 85.794, 85.68549999999999, 83.94699999999999, 86.11025, 85.49624999999999, 85.61349999999999, 85.11274999999999, 85.3685, 85.53174999999999, 84.53024999999998, 85.61475000000002, 85.13299999999998, 85.0155, 86.99700000000001, 85.27574999999999, 87.40775, 85.65649999999998, 85.705]","[86.08125, 84.62875000000001, 83.6335, 83.48525000000001, 86.23875, 85.51724999999999, 84.9025, 85.47, 86.13525, 85.572, 86.37400000000001, 86.6965, 84.44524999999999, 86.71, 82.03500000000001, 85.2065, 83.82525000000001, 85.826, 84.709, 83.95400000000001]","[87.64524999999998, 86.37724999999999, 85.78925000000001, 87.8535, 87.775, 85.49324999999999, 88.49950000000001, 86.31575, 87.79725, 87.50649999999999, 85.7655, 87.952, 87.35875, 85.47449999999998, 88.0205, 86.37425, 87.2045, 86.20949999999999, 86.86749999999999, 87.41599999999998]","[87.83274999999999, 87.62774999999998, 86.56174999999999, 88.0905, 86.93549999999999, 87.59474999999999, 87.4095, 87.19175, 87.96549999999999, 87.28124999999999, 86.533, 73.78399999999999, 87.69, 86.8665, 76.18050000000001, 79.26499999999999, 77.15724999999999, 87.09375000000001, 88.65849999999999, 86.60624999999999]","[89.18024999999999, 88.12924999999998, 88.86949999999999, 88.98725, 89.094, 89.033, 88.76925, 89.46825, 88.86199999999998, 88.83024999999999, 89.21024999999999, 84.23649999999999, 84.74374999999999, 89.20049999999999, 88.6405, 88.44324999999999, 88.86949999999999, 88.75775, 85.33075, 89.002]"
sorted_nmf_concepts_percentage,"[88.52875, 88.95325, 89.4905, 88.94075, 89.297, 88.84249999999999, 88.8815, 88.95124999999999, 89.04349999999998, 89.32849999999999, 89.13250000000001, 89.29775000000001, 88.99, 89.24600000000001, 89.158, 88.97125, 89.13425, 88.791, 89.13775, 88.801]","[88.98975, 88.8525, 89.24725, 88.722, 88.49574999999999, 89.01324999999999, 88.8075, 88.70275000000001, 89.12575, 88.75974999999998, 88.9165, 88.74950000000001, 88.86999999999999, 88.77199999999999, 88.83824999999999, 89.363, 88.81525, 88.8645, 88.9015, 88.74149999999999]","[89.09174999999999, 88.81725, 88.96724999999999, 88.699, 88.88024999999999, 88.54575, 88.77000000000001, 88.9205, 88.95175, 89.09925, 89.285, 89.368, 88.37499999999999, 89.08200000000001, 88.3445, 88.91099999999999, 88.33924999999999, 88.8035, 88.76174999999999, 88.7815]","[89.39224999999999, 89.12924999999998, 88.80775, 89.23075, 89.05499999999999, 88.984, 89.3775, 89.16775, 89.094, 89.2645, 89.2515, 89.473, 89.29, 89.03075, 89.2775, 88.99725, 89.48225, 88.7255, 89.244, 89.0415]","[88.58675, 88.83774999999999, 88.62325, 88.94749999999999, 88.09400000000001, 88.60575, 88.699, 88.45, 89.004, 88.69425, 88.41149999999999, 73.78399999999999, 88.63375, 88.4425, 76.18050000000001, 79.26499999999999, 77.15724999999999, 88.46725, 89.08024999999999, 88.31425]","[89.18024999999999, 88.12924999999998, 88.86949999999999, 88.98725, 89.10649999999998, 89.033, 88.76925, 89.46825, 88.86199999999998, 88.83024999999999, 89.21024999999999, 84.23649999999999, 84.74374999999999, 89.20049999999999, 88.6405, 88.44324999999999, 88.91149999999999, 88.75775, 85.33075, 89.002]"
