method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
hard_weighted-local-3-nmf,77.32956997681929,78.85615011276522,74.95210298279932,76.83047905082066,74.56048515818814,74.13986166655292,77.14479367043162,75.58408459360481,77.84017196059938,74.64882642284982,78.63391322888042,74.0277000716576,76.68473458735079,74.83113741535465,74.56647499935764,73.51479257222726,75.19972918473141,73.82866189788402,77.99049452678813,73.92735973815095
hard_weighted-local-5-imp,72.96240962675117,70.86663852024773,68.76960825683105,67.98261173580143,67.2456670698869,66.14676126313165,69.33690195224926,67.4886726412781,71.09235813184017,65.591869932224,67.56517248521779,64.26622805440095,71.18759710653539,65.1767850812159,68.75238904007601,65.40209914477805,65.66631053719789,65.37573750220868,71.04441217330832,67.21595029724976
hard_weighted-local-5-nmf,76.7483144551026,77.9498239771512,74.5077468548479,74.87585502909211,72.28549427619309,72.94535630438003,75.4287125782509,74.22114083162799,76.59649487149218,73.76582178885337,76.81005755219832,72.2838579095935,76.01604701174372,73.91303329996732,73.87320789398605,73.23878764627561,73.55145861808168,71.86520963420102,77.13070181255513,72.59339222411232
raw-local-1-imp,56.7437433502623,57.19587063857166,53.710012866526014,57.13984095837068,57.53549891059076,50.70804879201192,58.24675038454224,56.70071856434926,57.702207197163816,51.64013302868981,54.03707591684273,52.17553133308129,57.50897906928593,53.35797735878394,56.31787509590118,53.401994610122856,54.0507955713582,53.72519223744682,57.44563281189482,55.39260721597198
raw-local-1-nmf,73.26812537063245,75.41605232073184,68.7347190082202,72.2576408822015,70.06354037216649,70.49007535468377,74.8563043087632,71.6212759904215,75.94701912439703,71.13698599699146,75.12518090538238,72.49066130267755,72.16045577909942,69.02136035171999,71.75754064479202,67.67378713894882,71.28109594811691,69.32014412050874,74.11216654810197,70.83042316071226
raw-local-2-imp,56.97401372922338,57.849953589314744,54.39506909267899,57.85212825760965,56.7998787181965,51.549262291271916,57.120431033822655,56.650079393473845,57.83464039526384,51.839537515221124,53.666282181348826,50.74747523519672,57.079942644251496,54.129129607762664,56.71051188119416,53.12027099165821,55.62272569790698,52.932453515213574,58.288830017914535,55.35842627151345
raw-local-2-nmf,72.46049220701012,74.67647381935353,69.46554039947493,69.6887331682063,67.13883327314343,67.45051175185169,73.87799688786806,70.32511730882764,74.59594196779055,70.83634440858239,74.7713182243728,71.96958637037844,71.78674232464355,68.0449227585195,69.56508822941629,67.12212336041068,68.78012539826928,68.71711296697215,73.13739497933858,70.18284921346549
raw-local-3-imp,56.022485736513914,58.455679649515965,54.172753624961565,57.50962191478191,56.941588433280245,51.47129837299512,56.808267072823654,57.194111725546556,58.87773647659953,53.18402107511417,53.758480898288404,51.632261084257784,57.9438897292392,54.571233195772884,56.20720530020804,52.38903086866887,54.76093423813723,52.583734480866305,56.61788995294451,57.07409492319847
raw-local-3-nmf,69.74929481949526,73.55500991139357,69.08944898165021,68.9897295294942,65.90283135755753,65.79063750822725,71.28298009638375,68.85946370026198,72.92762791047286,67.48003813513135,71.52403621346384,70.07129993339694,71.7626813170168,66.59510588769739,66.69418098923451,64.81975725461291,67.16371892580736,66.62663472526044,70.90428041272938,68.44218607726654
raw-local-5-imp,57.903154261966506,58.26081949257378,53.61504789363035,56.32011505429849,55.24391072008751,50.89804203420881,58.33124683786775,56.92164873536801,58.84896183614958,54.01467319492694,55.04251947788297,53.57082938759297,57.45656789792388,54.33137656523756,54.914978585842356,51.50224626330327,53.55517737169794,54.10455041613411,57.000523676588884,55.69952622193262
raw-local-5-nmf,68.12841920931768,70.44494963677909,66.65265117658444,67.98692762213595,60.798591991808635,62.25692437947244,65.4732003805024,65.60429015535912,69.9611413881259,64.25109105600396,66.24112616560272,66.5760360186701,68.2061990867712,65.61687628958089,64.10644322610594,63.913287283253375,62.76021329538611,63.087001259549204,67.58263473180816,63.67585595600026
raw-global-3-imp,58.99323529332002,57.57007090720209,53.941750976199266,54.666845468081995,55.973687377279255,52.024836860277354,58.33235261152874,56.31547158414168,59.102422749428484,52.19409122689203,56.31202867794195,52.90259977482955,55.74388648010169,56.01435394236132,56.33809136780107,51.94859014616526,55.258180994541625,53.8218746640318,56.480475744035495,54.9600649517801
raw-global-3-nmf,63.952993198929,64.17459510381725,60.821661575192124,60.96240486586252,56.639819348480316,58.93348605666986,65.25132733975775,66.79010895650609,66.07606698847876,60.13335760118327,59.42795265465713,60.35881535464917,64.18418188201805,56.535624493213305,62.9988936269741,56.00947546031793,57.28246118908688,56.77159879717816,64.28890094951102,64.97218194788992
raw-global-5-imp,57.73273648442622,58.18260939259499,52.80825523666707,54.78209611084824,56.597719190177905,50.87843513642726,59.72356313570586,56.83599336710912,57.87386530162212,53.98941695946805,57.81023573334336,52.06382068849341,55.9540471041288,53.35758723933169,55.746527404253776,53.11502067012025,52.497534451771585,53.11259917639109,56.863425066296166,53.97480431521852
raw-global-5-nmf,63.962130454327365,69.74009995121878,61.82564953271451,63.549079422660824,63.08560729022319,56.423517936292306,65.68131397687361,67.91528987846657,68.18861219391724,59.820603949508914,65.05176898622793,63.39633631267912,64.33394085710799,57.29776329342389,66.57137905077774,59.80119180479998,62.1067617608305,61.62146116367258,67.41572308054123,68.66743433738668
