method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
total,64.96412676155069,63.88992357102912,61.73833052366851,64.19470838837086,66.60844830189046,67.85450849091454,64.13788378028823,64.42309165558423,61.41830322349432,66.78395112043513,64.26788833931694,67.35466646630064,63.229713233855335,60.58002568306822,64.88204414527071,67.26450520815806,65.15295912032154,66.9981398691119,68.58880597707456,58.51027367081288
epistemic,58.158360304605004,57.18930865818739,55.66317235589845,59.61714991437932,60.90258074818955,62.0499911819273,57.4100295588292,58.107024994650956,54.56236097806263,60.712393885504824,60.50846982093571,59.82334954931782,56.29815285949637,52.38557976216131,57.42032052538649,60.65991973065917,57.64083176536198,61.74232683257525,63.88378616905846,51.963649139171594
aleatoric,64.96866487802234,63.89671007007068,61.726618929522076,64.17909492998243,66.62856502212537,67.85678828478386,64.13793640618796,64.43140705121726,61.40386501815141,66.77530727230106,64.25881823771122,67.38725994561452,63.220458163182236,60.58404631971045,64.8907984466072,67.26391252290863,65.19550309907726,67.02719099508207,68.60898143540066,58.50231562421175
var,65.76891081430522,65.04896848282905,62.94919883067506,65.6375650194293,67.45996464732909,68.88306832297191,65.36855934343805,65.55664333725706,62.439405965299166,67.99580668528105,65.3995804772637,68.32832064208021,63.8433489114346,61.6469829519702,66.05408412927436,68.21970653369951,66.20477755859861,68.31935113609947,69.58672899118031,59.90606672604794
kl,64.96412676155069,63.88992357102912,61.73833052366851,64.19470838837086,66.60844830189046,67.85450849091454,64.13788378028823,64.42309165558423,61.41830322349432,66.78395112043513,64.26788833931694,67.35466646630064,63.229713233855335,60.58002568306822,64.88204414527071,67.26450520815806,65.15295912032154,66.9981398691119,68.58880597707456,58.51027367081288
sigmoid-mapping,64.98356430955678,64.0947374604568,61.60802053357557,64.20415324723346,66.5892346831869,67.97964719343533,64.23134354128419,64.28815975276319,61.485672420339334,66.83630623726808,64.23898305876071,67.46731745595227,63.27262301464377,60.63035529363287,64.9403134514649,67.16609956069621,65.21756867056865,66.932714200801,68.61203026270275,58.43969648616348
soft_weighted-local-1-imp,52.31914731849468,51.40474508648387,49.901597295413126,53.852343128542955,55.90234985383256,54.54731289508412,50.630291617966925,55.270335489894116,48.317910640000285,54.201415705788875,53.06912508848177,54.004078246978914,51.54419820139435,45.58433047701897,52.057644209207396,55.35191926807268,52.29988409036629,54.45028368325421,55.97808367113282,46.64464769900965
soft_weighted-local-1-nmf,66.69539238348963,65.70467114678651,66.66169052571107,64.47296102179794,67.12570904162014,71.35239590860124,67.63949042245605,69.12864123387983,64.92212822182148,67.1022713693832,69.55169332046404,68.879602933609,65.0672896359082,63.57545538213153,65.54603706794043,70.90553039264326,67.54160318021638,70.07591240560343,72.93472443917909,60.61915470976659
soft_weighted-local-2-imp,53.71675136685683,52.491797054444376,50.60871235508749,55.037496501808256,57.14410842387775,57.65154685890598,51.599737897426984,55.38051679583022,50.43459910034946,54.864773027764606,54.40897358410767,55.302401598318205,51.07933689149395,47.226339843846176,53.69933554850431,57.559066698585866,54.22210647832616,54.91746856777497,56.68549627450442,47.234610129233815
soft_weighted-local-2-nmf,66.38118045274452,66.05523499970005,64.6486449448479,61.97184102460002,65.97444142076247,70.45345296441583,66.37938624880277,68.25677580675652,64.40644403866328,67.5624875809646,69.3534282160005,67.5676157233499,64.48291160932683,63.65541501135522,66.19866110755028,71.1327174241973,67.76930913670404,68.68758445031965,71.89388547302278,60.52052843879123
soft_weighted-local-3-imp,54.533541877653526,54.22016632531415,51.365406998047604,54.891229270960146,58.613987062572065,57.737689202589294,52.025921629563406,56.21355444214541,50.17332290133317,55.49207083594787,53.89031062813659,54.76455867507318,51.56087487566201,47.92688870700259,54.165371700708256,58.46855542928799,54.84639003120005,55.39604509188883,57.41635305290743,48.53878422893575
soft_weighted-local-3-nmf,66.26459009380127,65.88939138381467,63.598213071739046,62.125329728964424,65.48769148742473,68.99531670901358,64.66483254371565,67.35349749499306,62.71339453585898,66.45873447137409,68.09428456622886,66.91927004265841,63.55129002774711,62.30887716492272,64.62045507726282,70.04719069513025,67.25896309412377,66.97381251238232,70.61678676711881,60.313951561511985
soft_weighted-local-5-imp,54.88529321958056,54.743364337099635,53.34802677848634,55.03278133669837,58.344806912958475,58.07222531020058,52.41355079984267,56.479650934574465,50.54671570140348,55.375111979533244,52.91310639430888,55.72618707232242,52.2141687170783,47.56726913748349,55.865515134162166,58.16670505434043,55.67682113846811,56.52422388095945,58.88864735697943,48.61852218895605
