method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
soft_weighted-local-5-nmf,63.750346240329236,65.08299699604878,62.3299411450116,61.80060614424088,63.03225710144965,67.27672955617646,62.32543700903437,65.69364127146339,61.124349836319034,63.81528738369913,65.17175707156409,65.97964796626219,62.17805818618587,59.73234323337775,62.879463812154604,69.21065620764766,66.49572930903574,63.64214669867195,68.23005503268166,58.11839700220786
hard_weighted-local-1-imp,56.67630401484629,55.15794215608752,53.63303066794925,57.209006606492046,59.83614264018698,58.54182195353039,55.87599243837239,57.69027436474151,52.94507618737108,57.912472272124376,57.603276727747875,58.572473364920704,55.639597666536865,50.293626278219776,57.237104818812924,59.18900946340159,55.9408740692034,58.369892053760985,59.531775798653314,50.55190211329714
hard_weighted-local-1-nmf,67.98505207798928,67.98909133995558,65.56429933004726,68.49123083261298,69.98367723367193,71.37309920085625,68.12748280067406,68.95377827525094,64.54563905518644,68.82326709858131,69.84131633422207,69.1525678793039,66.07459318751745,65.21940833216877,67.90758727053517,70.2952330983365,69.0789332615381,71.14034668729039,73.24964365518949,61.47149124308133
hard_weighted-local-2-imp,57.47607680882177,55.44879600592619,53.75407000094774,57.495436077570844,60.46413831754351,60.22758617282846,56.03533824798031,57.30513898787283,53.84843101099046,57.35473688040772,57.053661350316474,59.42291198946523,54.59481881763052,49.975724987386556,57.01133009102254,59.904224662609195,56.713300000774446,58.98084917033003,59.73291407484247,50.016961305276574
hard_weighted-local-2-nmf,68.13066689780504,68.22253376847299,66.1923239909429,67.70085773635492,69.76012013966319,71.96013087868694,67.92903206499267,69.52329815115101,65.13941784056357,68.65722754426292,69.90895713653227,69.41064010033355,66.95095858741449,63.543733901950354,69.07913669114879,70.7410768004106,68.84480061253954,71.10492119670576,73.06266678010688,62.283212977260916
hard_weighted-local-3-imp,57.98440826704547,55.72912667780082,54.23867230530797,57.68431319547357,61.04670601848135,59.573565099183426,56.73799850422154,57.81365264730189,52.794348077604404,57.799986772479016,56.42714354443663,58.68270198877095,54.64613390329233,50.35810162110235,57.195472322972584,60.000116107124114,57.23158596308318,58.948770479023736,59.80519617479694,50.2426076424293
hard_weighted-local-3-nmf,67.78941453098673,68.18012928274834,66.58540911846596,67.05564862958556,69.04526616791816,71.12709579425581,67.48239847053634,69.2562104889338,64.24022789803533,68.27025637202193,69.46956862935052,68.69876072421715,66.43083056669352,63.35367026845701,68.3793032272443,70.54659234428445,68.19473836853632,70.74215841785151,71.97836910085422,62.884031273317994
hard_weighted-local-5-imp,57.43352001723538,56.12056923723908,55.283912060044806,57.4722094248998,60.651834428054634,59.71909535508556,56.30304825650143,58.14449709697381,52.46583521910722,56.7533654350511,54.93792922688944,58.28741778894354,55.23052733967278,49.37870253138417,57.94606581557106,59.379559675437235,56.99796234807958,59.029348696298754,60.15978602538226,49.664085697783314
hard_weighted-local-5-nmf,65.228789477208,66.82053592695752,65.14264527020798,66.11073723972464,68.16655140454512,70.0644503077607,65.57307220831203,68.5281548362404,63.85289351741863,67.39365679913251,67.56152051866005,68.32680169692604,64.88208595944229,62.200167695902195,65.90824656563149,69.99136236177071,67.37563204767712,68.52101608556124,70.4670366894967,61.58423335757638
raw-local-1-imp,43.38321203763609,42.23044148639149,41.17473870993512,44.36866415937221,42.62136504465738,44.47499091299817,40.077755376522724,45.36961169585763,39.52194256321197,44.02356874618637,44.667531900254964,44.67903285755629,41.79003401446006,37.62046020954753,41.89187280527864,43.35197961394834,42.0731036120737,46.69817803652264,46.926206877342146,38.2843297102235
raw-local-1-nmf,65.0466185358897,63.451953532321006,65.45560950132112,61.39975774887575,62.830627739646935,68.89819462263084,65.36946361413291,66.09411898335631,62.81364159124421,64.0185218670944,67.81289081493654,66.6348238791819,61.89326245022503,61.32518740349634,63.84029830832111,69.24468491179033,65.55600153814875,68.80104734395692,71.63630717316248,58.20533051452141
raw-local-2-imp,43.12302531431535,42.118082623838326,40.69962994041424,44.642070255498076,45.24131762310903,47.427958450696345,40.46356483506611,44.28150288032765,40.792728504788116,43.88818187446692,44.017061508827375,44.69600934244798,40.62152817828097,38.85035570609852,42.97648333811578,44.69749688557469,43.418378951223275,46.25023071535503,46.0861628863857,37.96486870854256
raw-local-2-nmf,63.15524233938664,62.66992421143127,61.81305828494005,58.19496300288264,59.28081645770072,67.37171467716946,63.77781633624827,63.82143184066132,61.51913797325543,63.68770038596497,66.75209714648575,63.95077228022288,60.05468463591969,60.57060506775588,63.16636590819785,69.25878668561074,64.96447686627941,65.84587360425355,68.37848601888678,57.33148113258083
raw-local-3-imp,42.73328347356229,42.977204871775115,40.49054054518351,43.61178712816974,45.13788499794331,47.055969249729664,40.145785169541625,44.23759312315206,40.71519412489629,43.729786364271085,43.02335673398633,42.928642518387456,39.49336393956963,38.589843107426795,42.49174931668542,45.39395114611576,41.799427419659295,46.35813113013774,46.813779298960185,39.57677828542386
raw-local-3-nmf,62.049292316693396,61.641750006437356,59.40902897659187,58.045105436497494,57.39976340916329,64.26617565154663,60.409315609171415,61.65074944633061,58.37270272198195,60.39378782743297,64.42211723512152,61.3754349305582,58.17851458456739,57.811961760634425,60.00314316131206,66.54820335478227,62.54319013203127,62.89356575792892,65.97782703790612,56.06165632127408
raw-local-5-imp,43.09528235196491,42.41826376512984,42.149588399157196,41.966659573149485,44.774611203917004,46.30144358411156,39.79211132885609,44.15717259027556,40.1662030654132,43.31602581473311,42.18126738631981,43.17362293899196,39.858944387462564,38.24512942811949,42.41230164527672,45.392810531593305,43.80734229253959,46.29008866200021,47.845649050435966,38.90787558202062
raw-local-5-nmf,57.45227230116002,59.179294451614204,55.25786533879199,55.368910129332825,53.46962462930923,61.280547597289186,56.13284266580972,58.419983416171746,55.028333236096294,56.302476421868946,59.023771175664315,58.845876154619496,55.342470775445214,53.1861884832578,57.231158070562984,63.39818837536459,60.73206694603908,56.84114493668972,61.682989210772824,52.33983544666657
raw-global-3-imp,44.94737408608142,42.881584611138074,40.73488730546358,42.54798604901197,41.48877574093597,44.75002541081958,40.316167225548476,45.85570999963435,40.86383702341522,45.546522846192595,41.56246961238708,44.633415597536725,42.762849344786986,38.716388102964316,41.698577231921696,45.01892438272674,41.72364866512477,46.00428458145383,47.800782758238576,37.06188885975687
raw-global-3-nmf,53.06840375612489,55.0895028186379,53.89886988451901,55.103608144867415,40.02658968030089,58.24268185837037,51.21183017793345,50.62650737671414,52.19603594180032,50.60128334084954,55.42614391984033,50.69349963848049,47.98793750560286,51.96994535214938,54.351272729501,61.83451651619944,57.73107665201784,59.55163951264748,57.667305050234525,51.07215762715831
raw-global-5-imp,45.11114576656146,42.459916454601334,40.61363051755893,43.057675511618704,44.60185142134484,44.93922854090594,40.834031180586734,44.50935955263311,41.101422226280455,42.97871986495791,43.734789350978126,45.15903245640005,42.53316949844019,36.6238009533158,42.84719987623763,44.77772898274694,41.811298578086124,44.62579998520373,46.36061273121959,38.08983844703204
raw-global-5-nmf,50.852948270597665,59.10301230757291,59.83823420456876,52.69613537999298,53.46003907044635,62.16921628644935,55.36979725519929,57.390048774367195,55.84678878159183,54.41297528778257,60.089790367190965,56.07319394259975,55.62601087989444,56.208938755375414,54.25347747768469,63.99101154801866,57.7293820312236,62.72847348257981,59.48536054498956,56.32323743075087
