Method,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%
Total Entropy,99.6075,99.428,99.22,99.0275,98.586,98.24149999999999,97.571,96.80499999999998,95.53900000000003,93.59449999999998,90.8495,87.4645,84.8675,83.3195,82.68349999999998,82.5035,82.3865,82.29349999999998,81.9145
Aleatoric,100.0,99.428,99.22,99.0275,98.62499999999999,98.27399999999997,97.769,96.91,95.64750000000001,93.806,91.03,87.7775,85.28,83.82749999999999,83.16649999999998,82.94250000000001,82.8625,82.828,82.42150000000001
Epistemic,95.727,95.4135,93.68449999999999,89.583,85.314,80.822,76.23499999999999,72.94400000000002,70.69999999999999,69.71000000000001,70.09150000000002,70.84000000000002,72.17200000000001,73.41749999999999,74.90450000000001,76.3185,77.61699999999999,78.8305,79.93949999999998
Ours (Importance),99.20649999999999,98.65350000000001,98.18800000000002,97.704,97.51100000000001,97.2675,96.814,96.37950000000001,95.79349999999998,95.33449999999996,94.6985,93.9195,93.2345,92.536,91.81700000000001,91.0365,89.9965,88.39150000000002,85.13449999999999
Ours (NMF),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9855,99.067,95.08599999999998,90.0065,85.29849999999999
