Method,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%
Total Entropy,99.8215,99.8125,99.01700000000001,98.772,98.251,97.64,96.98800000000001,96.34599999999998,95.29700000000001,93.453,91.28049999999999,88.04650000000001,85.30799999999999,83.488,82.522,82.16050000000001,82.089,82.01599999999999,81.777
Aleatoric,100.0,99.8125,99.01700000000001,98.87249999999999,98.32900000000001,97.738,97.20400000000001,96.44299999999998,95.4685,93.62899999999999,91.475,88.28750000000001,85.6215,83.83449999999999,82.99449999999999,82.554,82.50700000000002,82.439,82.039
Epistemic,93.2365,94.716,94.40549999999999,93.5395,90.57750000000001,87.41650000000001,83.02599999999998,79.60650000000001,76.4705,73.9825,72.569,72.399,72.94550000000001,73.9505,75.2225,76.55850000000001,77.88350000000003,79.077,80.1745
Ours (Importance),97.76400000000001,97.426,97.54200000000002,96.87549999999999,96.5285,96.5255,96.37250000000002,96.44,96.1425,95.85249999999999,95.691,95.333,94.82750000000001,94.1505,93.37100000000001,92.10400000000001,90.21650000000001,87.74699999999999,84.59650000000002
Ours (NMF),97.76400000000001,97.426,97.61050000000002,97.11999999999999,96.92099999999999,96.886,96.906,97.0695,96.9235,96.904,96.8775,96.851,96.7755,96.71,96.321,95.12950000000001,92.187,88.44000000000001,84.67700000000002
