Method,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%
Total Entropy,92.4745,92.31200000000001,92.06250000000001,91.6925,90.39249999999998,89.81350000000002,89.074,88.34200000000001,86.9215,85.785,84.46650000000001,82.7345,80.93799999999999,79.39949999999997,79.215,80.0975,81.11399999999999,82.04350000000001,82.95100000000001
Aleatoric,92.4745,92.504,92.13200000000002,91.83849999999998,90.58649999999999,90.08000000000001,89.13,88.365,87.07449999999999,85.886,84.5375,82.8495,80.9675,79.41599999999998,79.21600000000001,80.147,81.12549999999999,82.0545,82.93100000000001
Epistemic,88.45149999999998,89.95400000000001,89.16900000000001,89.11749999999998,87.8915,86.8185,86.106,84.88,84.00599999999999,83.275,83.2845,83.27700000000002,83.20349999999999,83.27349999999998,83.38,83.3955,83.441,83.4805,83.4915
Ours (Importance),99.6,99.003,98.73750000000003,98.2575,98.01550000000002,97.82750000000001,97.17349999999999,96.7125,96.22049999999999,95.64249999999997,95.16650000000001,94.4235,94.00699999999999,93.25699999999999,92.215,91.208,89.5415,87.97200000000001,85.94450000000002
Ours (NMF),100.0,100.0,100.0,100.0,100.0,99.966,99.971,99.9745,99.97749999999999,99.94300000000001,99.92850000000001,99.90200000000002,99.68300000000002,99.42250000000001,99.09350000000002,97.99600000000001,95.73750000000001,92.03650000000002,87.8335
