Method,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%
Total Entropy,100.0,100.0,99.66099999999999,98.4225,97.544,96.748,95.94999999999999,95.2625,94.584,93.84549999999999,91.3725,87.753,84.50050000000002,81.47549999999998,79.0135,77.47199999999998,76.77599999999998,76.92699999999999,77.689
Aleatoric,100.0,100.0,99.66099999999999,98.257,97.152,96.02950000000001,95.291,94.5125,93.99699999999999,93.22399999999999,90.412,86.32000000000001,82.7455,79.90650000000002,77.43100000000001,76.15300000000002,76.05500000000002,76.555,77.60900000000001
Epistemic,100.0,100.0,100.0,100.0,100.0,100.0,99.85849999999999,99.795,99.66749999999999,99.5385,99.3835,99.1225,98.92400000000002,98.01650000000001,96.76100000000002,94.833,91.471,87.2885,82.873
Ours (Importance),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9265,99.0125,98.0485,96.91999999999999,92.6955,87.5735,82.96249999999999
Ours (NMF),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9265,99.0125,98.0485,96.91999999999999,92.7295,87.594,82.96249999999999
